"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Meshs/Props/Vending_Machine/M_VendingMachine_Glass.M_VendingMachine_Glass","0","18","1","1","36.550026","0","53"
"/Game/Meshs/MaterialsMaster/M_Master.M_Master","0","14","14","1","26.190359","0","14"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","27","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","35","1","0.000000","0","0"
"/Game/Vfx/Mesh/lambert2.lambert2","0","0","14","1","0.000000","0","0"
"/Game/Vfx/Effect/M_Gappe.M_Gappe","0","0","36","1","0.000000","0","0"
"/Game/Vfx/material/m_Slash.m_Slash","0","0","54","1","0.000000","0","0"
"/Game/Materials/M_TestPlatformToPlace.M_TestPlatformToPlace","0","0","18","1","0.000000","0","0"
"/Game/Materials/M_TestPortalResource.M_TestPortalResource","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_TestPortal.M_TestPortal","0","0","14","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Game/Materials/M_TestPlatform.M_TestPlatform","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_TestBouncePlatformToPlace.M_TestBouncePlatformToPlace","0","0","18","1","0.000000","0","0"
"/Game/Materials/M_TestBouncePlatform.M_TestBouncePlatform","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_LightOpacity.M_LightOpacity","0","0","18","1","0.000000","0","0"
"/Game/Materials/M_Invible.M_Invible","0","0","36","1","0.000000","0","0"
"/Game/FirstPersonArms/ParkourCharacter/Test/blinn3_009.blinn3_009","0","0","26","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","35","1","0.000000","0","0"
"/Game/FirstPersonArms/ParkourCharacter/Test/blinn3_012.blinn3_012","0","0","26","1","0.000000","0","0"
"/Game/FirstPersonArms/ParkourCharacter/Test/blinn3_011.blinn3_011","0","0","26","1","0.000000","0","0"
"/Game/FirstPersonArms/ParkourCharacter/Test/blinn3_010.blinn3_010","0","0","26","1","0.000000","0","0"
"/Game/Assets_LD/PM3D_Cube3D_1_ncl1_1.PM3D_Cube3D_1_ncl1_1","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/PM3D_Cube3D_1.PM3D_Cube3D_1","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/PM3D_Cube3D_1_ncl1_3.PM3D_Cube3D_1_ncl1_3","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/PM3D_Cube3D_1_ncl1_2.PM3D_Cube3D_1_ncl1_2","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/M_Trash.M_Trash","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/M_Crane.M_Crane","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/M_Bus.M_Bus","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/M_building_clean.M_building_clean","0","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Game/Assets_LD/lambert2.lambert2","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/lambert1.lambert1","0","0","38","1","0.000000","0","0"
"/Game/Assets_LD/Crane3.Crane3","0","0","14","1","0.000000","0","0"
"/Game/Assets_LD/Crane2.Crane2","0","0","14","1","0.000000","0","0"
"/Game/3D/lambert1.lambert1","0","0","26","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
